Estado,Cidade,Latitude,Longitude,Data,Hora,N° da Estação,Temperatura Instantânea,Temperatura Mínima,Temperatura Máxima,Orvalho Instantâneo,Orvalho Mínimo,Orvalho Máximo,UR instantânea,UR Mínima,UR Máxima,Pressão Instantânea,Pressão Mínima,Pressão Máxima,Direção do Vento,Velocidade do Vento,Rajada de Vento,Radiação,Precipitação
DF,BRASILIA,-15.78944444,-47.92583332,2023-01-01,00:00,A001,20.1,20,20.9,17.9,17.8,19.2,87,87,91,887.7,887.2,887.7,187,1.2,3.3,-3.5,0
DF,BRASILIA,-15.78944444,-47.92583332,2023-01-01,01:00,A001,19.2,19.2,20.1,17.5,17.4,17.8,90,87,90,888.1,887.7,888.1,153,0.8,2.9,-3.5,0
DF,BRASILIA,-15.78944444,-47.92583332,2023-01-01,02:00,A001,19.3,19,19.5,17.6,17.3,17.8,90,89,90,887.8,887.8,888.1,145,1.5,2.5,-3.5,0
DF,BRASILIA,-15.78944444,-47.92583332,2023-01-01,03:00,A001,19.3,19.1,19.4,17.7,17.5,17.8,91,90,91,887.8,887.7,887.9,162,1.4,3.2,-3.5,0
DF,BRASILIA,-15.78944444,-47.92583332,2023-01-01,04:00,A001,19.7,19.1,19.7,18.1,17.4,18.1,90,90,91,887.6,887.6,887.9,140,2.7,5.7,-3.4,0
DF,BRASILIA,-15.78944444,-47.92583332,2023-01-01,05:00,A001,19.1,19.1,19.7,17.7,17.7,18.1,92,90,92,886.7,886.7,887.6,128,2,7.1,-2.9,0
DF,BRASILIA,-15.78944444,-47.92583332,2023-01-01,06:00,A001,18.5,18.4,19.1,17.1,17.1,17.7,92,92,92,886.3,886.3,886.8,196,0.4,4,-3.5,0
DF,BRASILIA,-15.78944444,-47.92583332,2023-01-01,07:00,A001,18.5,18.4,18.6,17.3,17.1,17.4,93,92,93,886.4,886.3,886.5,98,0.8,2.5,-3.4,0
DF,BRASILIA,-15.78944444,-47.92583332,2023-01-01,08:00,A001,18.2,18.2,18.7,16.9,16.8,17.3,92,91,93,886.5,886.4,886.6,51,0.8,3.4,-3.4,0
DF,BRASILIA,-15.78944444,-47.92583332,2023-01-01,09:00,A001,18.1,18,18.3,16.9,16.8,17,93,92,93,887.1,886.5,887.1,121,1.6,3.5,2.5,0
DF,BRASILIA,-15.78944444,-47.92583332,2023-01-01,10:00,A001,19,18,19,17.6,16.8,17.6,91,91,93,887.9,887.1,887.9,92,2,3.8,253.8,0
DF,BRASILIA,-15.78944444,-47.92583332,2023-01-01,11:00,A001,19.4,19,19.6,17.5,17.4,17.8,89,89,91,888.4,887.9,888.4,81,2.3,4.7,510.4,0.2
DF,BRASILIA,-15.78944444,-47.92583332,2023-01-01,12:00,A001,21,19.3,21,18,17.5,18.4,83,83,90,888.6,888.4,888.6,56,3,5.5,1483,0
