grupoa grupob
23.3 22.3
20.7 17.4
17.2 19.1
23.4 24.2
19.3 19.4
21.8 23.0
23.2 22.8
21.2 19.8
21.1 22.8
25.1 25.5
22.1 24.0
26.5 24.5
26.4 22.2
21.5 21.8
23.1 22.3
20.4 20.2
20.3 21.9
23.8 23.1
21.9 24.0
24.7 24.2
23.6 22.9
23.5 20.1
18.5 18.2
19.7 20.0
14.4 15.5
16.8 22.6
22.3 22.2
23.0 26.5
23.1 23.2
26.0 26.7
24.1 24.1
21.9 25.0
26.9 20.2
18.9 21.3
24.4 26.4
25.4 24.6
23.3 23.2
25.0 25.8
23.0 23.0
25.4 19.4
22.0 22.4
25.0 25.1
25.6 26.3
27.3 27.4
26.8 22.3
20.5 20.7
22.9 24.7
23.3 26.6
28.9 29.6
16.2 25.1
