grupoa,grupob,valores_ajustados
"23,3","22,3","23,2447846081069"
"20,7","17,4","21,8169958604536"
"17,2","19,1","19,8949725463049"
"23,4","24,2","23,2996995599397"
"19,3","19,4","21,0481865347941"
"21,8",23,"22,4210603306146"
"23,2","22,8","23,1898696562741"
"21,2","19,8","22,0915706196177"
"21,1","22,8","22,0366556677849"
"25,1","25,5","24,2332537410976"
"22,1",24,"22,5858051861131"
"26,5","24,5","25,0020630667571"
"26,4","22,2","24,9471481149243"
"21,5","21,8","22,2563154751161"
"23,1","22,3","23,1349547044413"
"20,4","20,2","21,6522510049551"
"20,3","21,9","21,5973360531223"
"23,8","23,1","23,519359367271"
"21,9",24,"22,4759752824474"
"24,7","24,2","24,0135939337664"
"23,6","22,9","23,4095294636053"
"23,5","20,1","23,3546145117725"
"18,5","18,2","20,6088669201316"
"19,7",20,"21,2678463421254"
"14,4","15,5","18,357353894986"
"16,8","22,6","19,6753127389736"
"22,3","22,2","22,6956350897787"
23,"26,5","23,0800397526084"
"23,1","23,2","23,1349547044413"
26,"26,7","24,727488307593"
"24,1","24,1","23,6841042227694"
"21,9",25,"22,4759752824474"
"26,9","20,2","25,2217228740884"
"18,9","21,3","20,8285267274628"
"24,4","26,4","23,8488490782679"
"25,4","24,6","24,3979985965961"
"23,3","23,2","23,2447846081069"
25,"25,8","24,1783387892648"
23,23,"23,0800397526084"
"25,4","19,4","24,3979985965961"
22,"22,4","22,5308902342802"
25,"25,1","24,1783387892648"
"25,6","26,3","24,5078285002617"
"27,3","27,4","25,4413826814197"
"26,8","22,3","25,1668079222556"
"20,5","20,7","21,7071659567879"
"22,9","24,7","23,0251248007756"
"23,3","26,6","23,2447846081069"
"28,9","29,6","26,3200219107448"
"16,2","25,1","19,3458230279767"
