data utc tins tmax tmin urins urmax urmin tdins tdmax tdmin presins presmax presmin vel dir raj rad prec
01/01/2019 0000 29,0 29,5 28,9 70,0 71,0 69,0 23,0 23,3 23,0 990,0 990,0 988,4 3,2 92,0 8,0 0,0 0,0
01/01/2019 0100 28,3 29,0 28,3 74,0 74,0 70,0 23,2 23,2 23,0 992,0 992,0 990,0 3,0 85,0 6,8 0,0 0,0
01/01/2019 0200 27,9 28,4 27,9 75,0 75,0 74,0 23,1 23,2 23,1 993,0 993,0 992,0 2,4 88,0 6,3 0,0 0,0
01/01/2019 0300 27,5 28,0 27,5 77,0 77,0 75,0 23,1 23,1 23,0 993,6 993,6 993,0 2,4 93,0 6,0 0,0 0,0
01/01/2019 0400 26,6 27,5 26,6 81,0 81,0 77,0 23,1 23,2 23,0 992,8 994,0 992,8 2,3 92,0 5,5 0,0 0,0
01/01/2019 0500 26,1 26,7 26,1 81,0 82,0 81,0 22,6 23,2 22,6 992,7 993,1 992,6 3,0 91,0 7,6 0,0 0,0
01/01/2019 0600 25,6 26,1 25,6 82,0 82,0 81,0 22,3 22,6 22,3 992,7 993,0 992,6 3,5 101,0 7,0 0,0 0,0
01/01/2019 0700 25,1 25,6 25,1 84,0 84,0 82,0 22,2 22,3 22,2 993,1 993,1 992,7 2,7 106,0 7,0 0,0 0,0
01/01/2019 0800 24,7 25,1 24,7 86,0 86,0 84,0 22,1 22,2 22,1 993,3 993,4 993,1 3,2 99,0 7,1 0,0 0,0
01/01/2019 0900 24,3 24,7 24,3 87,0 87,0 86,0 22,0 22,1 22,0 993,9 993,9 993,3 3,2 102,0 7,1 1,02 0,0
01/01/2019 1000 25,2 25,2 24,1 84,0 88,0 84,0 22,3 22,5 22,0 998,2 998,2 993,9 2,4 97,0 6,6 269,37 0,0
01/01/2019 1100 25,8 26,1 25,0 83,0 85,0 81,0 22,8 22,9 22,1 1001,1 1002,1 998,2 2,2 89,0 6,4 747,32 0,0
01/01/2019 1200 27,1 27,1 25,8 80,0 84,0 80,0 23,3 23,3 22,6 1001,9 1001,9 1000,7 2,5 98,0 5,2 1087,84 0,0
01/01/2019 1300 29,3 29,5 27,0 73,0 81,0 72,0 23,9 24,9 22,9 1005,5 1005,5 1002,0 2,0 93,0 5,2 1987,64 0,0
01/01/2019 1400 31,3 31,7 29,1 69,0 76,0 63,0 24,8 25,7 23,3 1007,6 1007,7 1005,5 1,7 27,0 4,4 3050,05 0,0
01/01/2019 1500 33,4 33,6 31,3 64,0 70,0 61,0 25,5 26,1 23,4 1003,4 1008,1 1003,4 1,5 54,0 3,9 3750,17 0,0
01/01/2019 1600 34,5 34,6 33,1 60,0 66,0 54,0 25,4 26,5 23,6 1001,2 1003,5 1001,2 1,8 17,0 5,0 3874,08 0,0
