MES YEARS
JAN 01.27
FEV 00.62
MAR 00.13
ABR 00.23
MAI 01.12
JUN 00.11
JUL 00.05
AGO -0.67
SET -1.85
OUT 00.34
NOV -1.53
DEZ -1.29
JAN -0.47
FEV -0.26
MAR -0.55
ABR 00.51
MAI -0.26
JUN 00.38
JUL -0.92
AGO 00.91
SET 01.16
OUT 01.27
NOV 00.99
DEZ 01.47
JAN 00.74
FEV 01.33
MAR -1.82
ABR 00.16
MAI -2.79
JUN -1.11
JUL -0.59
AGO -0.09
SET -0.86
OUT -2.56
NOV -0.92
DEZ 01.30
JAN -0.98
FEV -0.35
MAR -0.18
ABR 00.22
MAI 00.38
JUN -0.77
JUL 00.72
AGO -0.67
SET -0.32
OUT -0.02
NOV -0.71
DEZ -1.32
JAN 00.80
FEV -1.18
MAR 00.43
ABR 00.15
MAI 00.46
JUN 01.19
JUL 01.47
AGO -0.07
SET 00.25
OUT -0.42
NOV -0.24
DEZ -0.97
JAN -0.12
FEV 01.24
MAR 00.15
ABR 00.35
MAI -0.29
JUN -1.42
JUL -0.25
AGO 00.22
SET 00.24
OUT 00.03
NOV -0.55
DEZ -1.96
JAN 00.33
FEV -0.21
MAR 00.50
ABR -0.16
MAI 01.69
JUN 00.43
JUL 00.92
AGO -1.72
SET -0.32
OUT 00.87
NOV 00.10
DEZ 00.63
JAN -0.08
FEV 00.07
MAR -0.57
ABR -1.03
MAI -0.61
JUN -1.19
JUL -2.63
AGO -0.10
SET 00.03
OUT -0.43
NOV -0.98
DEZ 01.92
JAN 01.20
FEV 01.14
MAR 00.58
ABR -0.87
MAI -0.49
JUN 01.34
JUL 00.32
AGO 00.08
SET 01.38
OUT 01.21
NOV 00.92
DEZ 01.19
JAN 00.96
FEV 00.45
MAR 00.60
ABR 00.02
MAI -0.73
JUN -0.47
JUL -1.23
AGO -0.68
SET -0.01
OUT 00.08
NOV -1.91
DEZ 00.60
JAN -0.75
FEV -0.77
MAR 00.10
ABR 00.37
MAI 01.02
JUN 02.07
JUL 02.42
AGO 01.51
SET 00.40
OUT 01.33
NOV 01.51
DEZ 00.20
JAN 00.05
FEV 01.07
MAR -0.29
ABR -0.87
MAI 01.26
JUN -0.09
JUL -1.38
AGO -1.20
SET -1.25
OUT 00.38
NOV -0.90
DEZ 02.57
JAN 01.58
FEV -0.28
MAR 00.27
ABR 00.66
MAI 00.15
JUN -0.19
JUL 01.25
AGO 00.48
SET 00.56
OUT -0.44
NOV -1.70
DEZ -0.76
JAN 00.07
FEV 00.71
MAR 01.37
ABR 00.61
MAI 00.36
JUN -0.27
JUL 00.94
AGO -1.56
SET -1.65
OUT -0.45
NOV 00.18
DEZ 00.06
JAN -0.68
FEV 00.32
MAR 00.46
ABR 00.61
MAI -0.44
JUN 00.84
JUL 00.24
AGO -0.05
SET -1.11
OUT -0.03
NOV -0.51
DEZ 01.32
JAN 00.67
FEV 01.21
MAR 00.77
ABR 01.02
MAI 00.41
JUN 00.71
JUL 01.67
AGO 01.06
SET 00.54
OUT -0.17
NOV 00.69
DEZ -0.05
JAN 01.39
FEV 01.09
MAR 02.03
ABR 00.09
MAI 00.01
JUN 02.56
JUL 00.40
AGO -0.73
SET 02.33
OUT -0.17
NOV -1.50
DEZ -0.71
JAN -0.98
FEV -0.01
MAR 00.15
ABR 00.61
MAI 01.05
JUN 00.54
JUL 00.72
AGO 00.76
SET 01.29
OUT -0.56
NOV 00.77
DEZ 00.98
JAN 01.27
FEV 01.04
MAR 00.14
ABR -1.16
MAI -0.07
JUN -0.01
JUL 00.37
AGO -0.34
SET 01.45
OUT 00.53
NOV 00.99
DEZ 00.93
JAN 00.67
FEV -0.50
MAR 00.74
ABR 00.33
MAI 00.33
JUN 01.46
JUL -0.39
AGO -1.08
SET 00.56
OUT -0.92
NOV -1.84
DEZ -1.36
JAN -0.23
FEV 00.27
MAR 01.42
ABR -0.47
MAI 00.57
JUN 01.07
JUL 01.07
AGO -0.72
SET 00.19
OUT 01.26
NOV 00.81
DEZ 01.48
