data5 ta20
01Dez 19.2
02Dez 16.5
03Dez 19.1
04Dez 23.1
05Dez 20.0
06Dez 20.2
07Dez 18.3
08Dez 21.6
09Dez 24.2
10Dez 26.2
11Dez 25.6
12Dez 23.8
13Dez 18.0
14Dez 22.0
15Dez 23.5
16Dez 20.7
17Dez 21.4
18Dez 21.8
19Dez 23.9
20Dez 24.8
21Dez 22.2
22Dez 19.5
23Dez 19.5
24Dez 24.0
25Dez 24.0
26Dez 24.2
27Dez 26.7
28Dez 26.8
29Dez 26.7
30Dez 25.4
31Dez 26.1
01Jan 23.3
02Jan 22.6
03Jan 22.3
04Jan 22.2
05Jan 23.0
06Jan 26.5
07Jan 23.1
08Jan 23.2
09Jan 26.0
10Jan 26.7
11Jan 24.1
12Jan 24.1
13Jan 21.9
14Jan 25.0
15Jan 26.9
16Jan 20.2
17Jan 18.9
18Jan 21.3
19Jan 24.4
20Jan 26.4
21Jan 25.4
22Jan 24.6
23Jan 23.3
24Jan 23.2
25Jan 25.0
26Jan 25.8
27Jan 23.0
28Jan 23.0
29Jan 25.4
30Jan 19.4
31Jan 22.0
01Fev 22.4
02Fev 25.0
03Fev 25.1
04Fev 25.6
05Fev 26.3
06Fev 27.3
07Fev 27.4
08Fev 26.8
09Fev 22.3
10Fev 20.5
11Fev 20.7
12Fev 22.9
13Fev 24.7
14Fev 23.3
15Fev 26.6
16Fev 28.9
17Fev 29.6
18Fev 23.4
19Fev 22.3
20Fev 20.7
21Fev 17.4
22Fev 17.2
23Fev 19.1
24Fev 23.4
25Fev 24.2
26Fev 19.3
27Fev 19.4
28Fev 21.8
01Mar 23.0
02Mar 23.2
03Mar 22.8
04Mar 21.2
05Mar 19.8
06Mar 21.1
07Mar 22.8
08Mar 25.1
09Mar 25.5
10Mar 22.1
11Mar 24.0
12Mar 26.5
13Mar 24.5
14Mar 26.4
15Mar 22.2
16Mar 21.5
17Mar 21.8
18Mar 23.1
19Mar 22.3
20Mar 20.4
21Mar 20.2
22Mar 20.3
23Mar 21.9
24Mar 23.8
25Mar 23.1
26Mar 21.9
27Mar 24.0
28Mar 24.7
29Mar 24.2
30Mar 23.6
31Mar 22.9
01Abr 23.5
02Abr 20.1
03Abr 18.5
04Abr 18.2
05Abr 19.7
06Abr 20.0
07Abr 14.4
08Abr 15.5
09Abr 16.8
10Abr 16.3
11Abr 16.8
12Abr 16.9
13Abr 19.5
14Abr 17.0
15Abr 16.9
16Abr 17.6
17Abr 17.0
18Abr 17.2
19Abr 19.4
20Abr 19.9
21Abr 18.6
22Abr 19.7
23Abr 19.6
24Abr 22.3
25Abr 21.1
26Abr 20.0
27Abr 20.2
28Abr 22.3
29Abr 21.2
30Abr 16.3
01Mai 15.0
02Mai 15.0
03Mai 14.5
04Mai 15.7
05Mai 16.9
06Mai 13.4
07Mai 11.6
08Mai 12.0
09Mai 14.2
10Mai 18.0
11Mai 17.6
12Mai 16.3
13Mai 15.0
14Mai 11.7
15Mai 12.1
16Mai 14.9
17Mai 19.9
18Mai 16.2
19Mai 19.4
20Mai 18.3
21Mai 18.9
22Mai 17.9
23Mai 17.1
24Mai 12.5
25Mai 13.8
26Mai 13.3
27Mai 12.0
28Mai 12.6
29Mai 14.5
30Mai 15.8
31Mai 12.6
01Jun 11.1
02Jun 12.0
03Jun 12.2
04Jun 15.0
05Jun 16.6
06Jun 13.4
07Jun 14.5
08Jun 15.0
09Jun 14.5
10Jun 14.2
11Jun 16.5
12Jun 17.9
13Jun 11.5
14Jun 07.7
15Jun 10.4
16Jun 16.6
17Jun 18.3
18Jun 16.8
19Jun 13.6
20Jun 16.6
21Jun 20.6
22Jun 15.5
23Jun 20.8
24Jun 20.8
25Jun 13.2
26Jun 09.8
27Jun 09.3
28Jun 08.1
29Jun 13.4
30Jun 14.7
01Jul 11.0
02Jul 08.4
03Jul 08.1
04Jul 10.6
05Jul 12.0
06Jul 08.7
07Jul 08.7
08Jul 11.2
09Jul 09.1
10Jul 10.0
11Jul 11.8
12Jul 10.0
13Jul 09.4
14Jul 07.1
15Jul 05.6
16Jul 07.5
17Jul 12.8
18Jul 20.2
19Jul 21.0
20Jul 20.3
21Jul 20.7
22Jul 20.2
23Jul 20.4
24Jul 14.2
25Jul 10.6
26Jul 10.4
27Jul 10.3
28Jul 08.3
29Jul 06.3
30Jul 08.1
31Jul 13.0
01Ago 13.0
02Ago 16.1
03Ago 17.6
04Ago 16.3
05Ago 18.0
06Ago 17.7
07Ago 15.9
08Ago 14.1
09Ago 15.7
10Ago 19.5
11Ago 09.8
12Ago 08.4
13Ago 12.5
14Ago 13.9
15Ago 14.2
16Ago 10.3
17Ago 10.7
18Ago 12.6
19Ago 11.0
20Ago 07.5
21Ago 08.1
22Ago 09.0
23Ago 11.8
24Ago 16.0
25Ago 17.3
26Ago 19.2
27Ago 15.7
28Ago 17.0
29Ago 16.5
30Ago 09.2
31Ago 09.1
